checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-09T00:00:07.238Z,BTC,0.8428,106407000,78429.7,1345.378849
2026-09-09T00:00:07.238Z,ETH,0.7843,3369000,2484.64,1345.378849
2026-09-09T00:00:07.238Z,SOL,0.7783,140100,103.33,1345.378849
2026-09-09T00:00:07.238Z,BNB,1.1864,1024000,752.2,1345.378849
2026-09-09T00:00:07.238Z,XRP,0.675,1919,1.4168,1345.378849
2026-09-09T00:00:07.238Z,ADA,0.7316,297.2,0.2193,1345.378849
2026-09-09T00:00:07.238Z,AVAX,1.011,10880,8.006,1345.378849
2026-09-09T00:00:07.238Z,DOT,0.7077,1692,1.2488,1345.378849
2026-09-09T00:00:07.238Z,LINK,2.1267,17190,12.511,1345.378849
2026-09-09T00:00:07.238Z,POL,2.1783,131.2,0.09544,1345.378849
2026-09-09T00:00:07.238Z,DOGE,0.6515,121.9,0.09002,1345.378849
2026-09-09T00:00:07.238Z,TRX,0.7796,459.3,0.33875,1345.378849
2026-09-09T00:00:07.238Z,XLM,1.204,255.5,0.18765,1345.378849
2026-09-09T00:00:07.238Z,SHIB,0.3882,0.0073,5.405e-06,1345.378849
2026-09-09T00:00:07.238Z,BCH,1.1582,351400,258.2,1345.378849
2026-09-09T00:00:07.238Z,UNI,1.337,9200,6.748,1345.378849
2026-09-09T00:00:07.238Z,AAVE,0.4283,174000,128.78,1345.378849
2026-09-09T00:00:07.238Z,SUSHI,0.3747,321.4,0.238,1345.378849
2026-09-09T00:00:07.238Z,LDO,-22.8743,399.8,0.3853,1345.378849
2026-09-09T00:00:07.238Z,ICP,1.6194,4014,2.936,1345.378849
2026-09-09T00:00:07.238Z,NEAR,0.0021,3120,2.319,1345.378849
2026-09-09T00:00:07.238Z,HBAR,1.3057,107.7,0.07902,1345.378849
2026-09-09T00:00:07.238Z,XTZ,6.3584,356.3,0.249,1345.378849
2026-09-09T00:00:07.238Z,DYDX,-8.1437,149.2,0.12073,1345.378849
2026-09-09T00:00:07.238Z,ARB,1.826,226,0.16497,1345.378849
2026-09-09T00:00:07.238Z,GMX,-9.0476,10160,8.303,1345.378849
2026-09-09T00:00:07.238Z,IMX,0.9497,179.1,0.13187,1345.378849
2026-09-09T00:00:07.238Z,INJ,1.5626,8760,6.411,1345.378849
2026-09-09T00:00:07.238Z,GRT,15.1401,29.99,0.01936,1345.378849
2026-09-09T00:00:07.238Z,SUI,0.7487,1099,0.8108,1345.378849
2026-09-09T00:00:07.238Z,HYPE,4.0262,119100,85.099,1345.378849
2026-09-09T00:05:06.886Z,BTC,0.6632,106342000,78521.7,1345.378849
2026-09-09T00:05:06.886Z,ETH,0.6498,3370000,2488.7,1345.378849
2026-09-09T00:05:06.886Z,SOL,0.5448,140100,103.57,1345.378849
2026-09-09T00:05:06.886Z,BNB,0.9984,1024000,753.6,1345.378849
2026-09-09T00:05:06.886Z,XRP,0.7072,1923,1.4193,1345.378849
2026-09-09T00:05:06.886Z,ADA,0.3654,297.2,0.2201,1345.378849
2026-09-09T00:05:06.886Z,AVAX,0.659,10880,8.034,1345.378849
2026-09-09T00:05:06.886Z,DOT,0.3141,1692,1.2537,1345.378849
2026-09-09T00:05:06.886Z,LINK,1.8256,17190,12.548,1345.378849
2026-09-09T00:05:06.886Z,POL,2.1462,131.2,0.09547,1345.378849
2026-09-09T00:05:06.886Z,DOGE,0.5795,122.3,0.09038,1345.378849
2026-09-09T00:05:06.886Z,TRX,0.729,459.3,0.33892,1345.378849
