checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-07T00:00:06.906Z,BTC,0.4571,108913000,80318.9,1349.83747
2026-09-07T00:00:06.906Z,ETH,1.0237,3428000,2513.83,1349.83747
2026-09-07T00:00:06.906Z,SOL,0.8135,144900,106.48,1349.83747
2026-09-07T00:00:06.906Z,BNB,-0.7176,1009000,752.9,1349.83747
2026-09-07T00:00:06.906Z,XRP,0.8708,1937,1.4226,1349.83747
2026-09-07T00:00:06.906Z,ADA,0.6004,303.5,0.2235,1349.83747
2026-09-07T00:00:06.906Z,AVAX,0.1527,10680,7.9,1349.83747
2026-09-07T00:00:06.906Z,DOT,-0.6573,1312,0.9784,1349.83747
2026-09-07T00:00:06.906Z,LINK,0.8976,18020,13.231,1349.83747
2026-09-07T00:00:06.906Z,POL,0.0633,132.8,0.09832,1349.83747
2026-09-07T00:00:06.906Z,DOGE,0.7998,123.6,0.09084,1349.83747
2026-09-07T00:00:06.906Z,TRX,0.9438,456.3,0.33488,1349.83747
2026-09-07T00:00:06.906Z,XLM,1.2184,255.7,0.18715,1349.83747
2026-09-07T00:00:06.906Z,SHIB,1.9614,0.0076,0.000005522,1349.83747
2026-09-07T00:00:06.906Z,BCH,1.1075,355800,260.7,1349.83747
2026-09-07T00:00:06.906Z,UNI,-0.437,9800,7.292,1349.83747
2026-09-07T00:00:06.906Z,AAVE,-0.9771,182800,136.76,1349.83747
2026-09-07T00:00:06.906Z,SUSHI,0.708,340.8,0.2507,1349.83747
2026-09-07T00:00:06.906Z,LDO,-13.65,485,0.4161,1349.83747
2026-09-07T00:00:06.906Z,ICP,1.7251,3750,2.731,1349.83747
2026-09-07T00:00:06.906Z,NEAR,1.769,3345,2.435,1349.83747
2026-09-07T00:00:06.906Z,HBAR,1.3241,111.4,0.08145,1349.83747
2026-09-07T00:00:06.906Z,XTZ,0.3477,325.9,0.2406,1349.83747
2026-09-07T00:00:06.906Z,DYDX,-10.049,149.2,0.12288,1349.83747
2026-09-07T00:00:06.906Z,ARB,0.3859,256.7,0.18944,1349.83747
2026-09-07T00:00:06.906Z,GMX,-4.7839,10160,7.905,1349.83747
2026-09-07T00:00:06.906Z,IMX,-1.3796,176,0.13221,1349.83747
2026-09-07T00:00:06.906Z,INJ,-9.6685,6460,5.298,1349.83747
2026-09-07T00:00:06.906Z,GRT,8.6122,28.75,0.01961,1349.83747
2026-09-07T00:00:06.906Z,SUI,0.8522,1105,0.8117,1349.83747
2026-09-07T00:00:06.906Z,HYPE,0.9101,119800,87.951,1349.83747
2026-09-07T00:05:06.889Z,BTC,0.8586,109309000,80290,1349.83747
2026-09-07T00:05:06.889Z,ETH,0.9132,3420000,2510.71,1349.83747
2026-09-07T00:05:06.889Z,SOL,0.9368,144900,106.35,1349.83747
2026-09-07T00:05:06.889Z,BNB,-0.8361,1009000,753.8,1349.83747
2026-09-07T00:05:06.889Z,XRP,0.9677,1936,1.4205,1349.83747
2026-09-07T00:05:06.889Z,ADA,1.2269,305.8,0.2238,1349.83747
2026-09-07T00:05:06.889Z,AVAX,0.2669,10680,7.891,1349.83747
2026-09-07T00:05:06.889Z,DOT,0.586,1331,0.9803,1349.83747
2026-09-07T00:05:06.889Z,LINK,0.9585,17990,13.201,1349.83747
2026-09-07T00:05:06.889Z,POL,0.1142,132.8,0.09827,1349.83747
2026-09-07T00:05:06.889Z,DOGE,1.0631,123.8,0.09075,1349.83747
2026-09-07T00:05:06.889Z,TRX,0.8133,456.2,0.33524,1349.83747
2026-09-07T00:05:06.889Z,XLM,1.0133,255.7,0.18753,1349.83747
2026-09-07T00:05:06.889Z,SHIB,2.0538,0.0076,0.000005517,1349.83747
2026-09-07T00:05:06.889Z,BCH,1.3797,355800,260,1349.83747
2026-09-07T00:05:06.889Z,UNI,0.1536,9800,7.249,1349.83747
2026-09-07T00:05:06.889Z,AAVE,-0.5773,182800,136.21,1349.83747
2026-09-07T00:05:06.889Z,SUSHI,0.0297,340.8,0.2524,1349.83747
2026-09-07T00:05:06.889Z,LDO,-13.5044,485,0.4154,1349.83747
2026-09-07T00:05:06.889Z,ICP,1.9491,3750,2.725,1349.83747
2026-09-07T00:05:06.889Z,NEAR,1.769,3345,2.435,1349.83747
