checkedAt,coin,premium,korbitPrice,foreignPrice,usdKrwRate
2026-09-10T00:00:06.884Z,AAVE,3.2519,174000,125.68,1340.864413
2026-09-10T00:00:06.884Z,ADA,1.599,288.4,0.2117,1340.864413
2026-09-10T00:00:06.884Z,ARB,2.0567,204.5,0.14944,1340.864413
2026-09-10T00:00:06.884Z,AVAX,0.632,10510,7.789,1340.864413
2026-09-10T00:00:06.884Z,BCH,3.1352,347800,251.5,1340.864413
2026-09-10T00:00:06.884Z,BNB,1.4635,982000,721.8,1340.864413
2026-09-10T00:00:06.884Z,BTC,1.406,106398000,78250.1,1340.864413
2026-09-10T00:00:06.884Z,DOGE,1.5644,117.2,0.08606,1340.864413
2026-09-10T00:00:06.884Z,DOT,1.556,1525,1.1199,1340.864413
2026-09-10T00:00:06.884Z,DYDX,-4.6517,149.2,0.1167,1340.864413
2026-09-10T00:00:06.884Z,ETH,1.3844,3353000,2466.48,1340.864413
2026-09-10T00:00:06.884Z,GMX,-0.0633,10160,7.582,1340.864413
2026-09-10T00:00:06.884Z,GRT,7.5831,26.99,0.01871,1340.864413
2026-09-10T00:00:06.884Z,HBAR,1.9689,104.5,0.07643,1340.864413
2026-09-10T00:00:06.884Z,HYPE,8.951,122000,83.511,1340.864413
2026-09-10T00:00:06.884Z,ICP,0.9339,3757,2.776,1340.864413
2026-09-10T00:00:06.884Z,IMX,5.8236,179.1,0.12622,1340.864413
2026-09-10T00:00:06.884Z,INJ,6.6454,8760,6.126,1340.864413
2026-09-10T00:00:06.884Z,LDO,-20.127,399.8,0.3733,1340.864413
2026-09-10T00:00:06.884Z,LINK,0.0879,15820,11.788,1340.864413
2026-09-10T00:00:06.884Z,NEAR,0.6107,3347,2.481,1340.864413
2026-09-10T00:00:06.884Z,POL,-1.4149,129.4,0.09789,1340.864413
2026-09-10T00:00:06.884Z,SHIB,2.3184,0.0072,5.248e-06,1340.864413
2026-09-10T00:00:06.884Z,SOL,1.6582,138300,101.46,1340.864413
2026-09-10T00:00:06.884Z,SUI,1.6104,1051,0.7714,1340.864413
2026-09-10T00:00:06.884Z,SUSHI,0.724,295.1,0.2185,1340.864413
2026-09-10T00:00:06.884Z,TRX,1.4551,460.8,0.33873,1340.864413
2026-09-10T00:00:06.884Z,UNI,2.0067,8420,6.156,1340.864413
2026-09-10T00:00:06.884Z,XLM,1.3536,245.9,0.18094,1340.864413
2026-09-10T00:00:06.884Z,XRP,1.4404,1895,1.3932,1340.864413
2026-09-10T00:00:06.884Z,XTZ,-1.2412,348.8,0.2634,1340.864413
2026-09-10T00:05:07.199Z,AAVE,3.5403,174000,125.33,1340.864413
2026-09-10T00:05:07.199Z,ADA,1.5031,288.4,0.2119,1340.864413
2026-09-10T00:05:07.199Z,ARB,1.5403,204.5,0.1502,1340.864413
2026-09-10T00:05:07.199Z,AVAX,0.5804,10510,7.793,1340.864413
2026-09-10T00:05:07.199Z,BCH,2.9714,347800,251.9,1340.864413
2026-09-10T00:05:07.199Z,BNB,1.2251,982000,723.5,1340.864413
2026-09-10T00:05:07.199Z,BTC,1.3954,106481000,78319.3,1340.864413
2026-09-10T00:05:07.199Z,DOGE,1.5054,117.2,0.08611,1340.864413
2026-09-10T00:05:07.199Z,DOT,1.1406,1525,1.1245,1340.864413
2026-09-10T00:05:07.199Z,DYDX,-4.7578,149.2,0.11683,1340.864413
2026-09-10T00:05:07.199Z,ETH,1.3596,3356000,2469.29,1340.864413
2026-09-10T00:05:07.199Z,GMX,1.5847,10160,7.459,1340.864413
2026-09-10T00:05:07.199Z,GRT,7.7559,26.99,0.01868,1340.864413
2026-09-10T00:05:07.199Z,HBAR,1.716,104.5,0.07662,1340.864413
2026-09-10T00:05:07.199Z,HYPE,8.9223,122000,83.533,1340.864413
2026-09-10T00:05:07.199Z,ICP,0.4634,3757,2.789,1340.864413
2026-09-10T00:05:07.199Z,IMX,5.6562,179.1,0.12642,1340.864413
2026-09-10T00:05:07.199Z,INJ,7.5939,8760,6.072,1340.864413
2026-09-10T00:05:07.199Z,LDO,-20.2339,399.8,0.3738,1340.864413
2026-09-10T00:05:07.199Z,LINK,1.5059,16070,11.807,1340.864413
2026-09-10T00:05:07.199Z,NEAR,0.0862,3347,2.494,1340.864413
2026-09-10T00:05:07.199Z,POL,-1.2535,129.4,0.09773,1340.864413
2026-09-10T00:05:07.199Z,SHIB,2.221,0.0072,5.253e-06,1340.864413
2026-09-10T00:05:07.199Z,SOL,1.5681,138300,101.55,1340.864413
2026-09-10T00:05:07.199Z,SUI,1.6763,1051,0.7709,1340.864413
2026-09-10T00:05:07.199Z,SUSHI,0.494,295.1,0.219,1340.864413
2026-09-10T00:05:07.199Z,TRX,1.2953,460.4,0.33897,1340.864413
2026-09-10T00:05:07.199Z,UNI,1.3568,8365,6.155,1340.864413
2026-09-10T00:05:07.199Z,XLM,1.348,245.9,0.18095,1340.864413
2026-09-10T00:05:07.199Z,XRP,1.4455,1897,1.3946,1340.864413
2026-09-10T00:05:07.199Z,XTZ,-1.0534,348.8,0.2629,1340.864413
2026-09-10T00:10:06.748Z,AAVE,3.6395,174000,125.21,1340.864413
2026-09-10T00:10:06.748Z,ADA,1.1839,287.9,0.2122,1340.864413
2026-09-10T00:10:06.748Z,ARB,2.4092,204.3,0.14878,1340.864413
2026-09-10T00:10:06.748Z,AVAX,0.6191,10510,7.79,1340.864413
2026-09-10T00:10:06.748Z,BCH,3.1352,347800,251.5,1340.864413
2026-09-10T00:10:06.748Z,BNB,1.4213,982000,722.1,1340.864413
2026-09-10T00:10:06.748Z,BTC,1.4582,106486000,78274.5,1340.864413
2026-09-10T00:10:06.748Z,DOGE,1.5644,117.2,0.08606,1340.864413
2026-09-10T00:10:06.748Z,DOT,1.375,1525,1.1219,1340.864413
2026-09-10T00:10:06.748Z,DYDX,-4.7496,149.2,0.11682,1340.864413
2026-09-10T00:10:06.748Z,ETH,1.3976,3355000,2467.63,1340.864413
2026-09-10T00:10:06.748Z,GMX,2.1049,10160,7.421,1340.864413
2026-09-10T00:10:06.748Z,GRT,7.8714,26.99,0.01866,1340.864413
2026-09-10T00:10:06.748Z,HBAR,1.809,104.5,0.07655,1340.864413
2026-09-10T00:10:06.748Z,HYPE,9.0385,122000,83.444,1340.864413
2026-09-10T00:10:06.748Z,ICP,1.0795,3757,2.772,1340.864413
2026-09-10T00:10:06.748Z,IMX,5.5894,179.1,0.1265,1340.864413
2026-09-10T00:10:06.748Z,INJ,7.5584,8760,6.074,1340.864413
2026-09-10T00:10:06.748Z,LDO,-19.977,399.8,0.3726,1340.864413
2026-09-10T00:10:06.748Z,LINK,1.2524,16000,11.785,1340.864413
2026-09-10T00:10:06.748Z,NEAR,1.0587,3347,2.47,1340.864413
2026-09-10T00:10:06.748Z,POL,-1.3141,129.4,0.09779,1340.864413
2026-09-10T00:10:06.748Z,SHIB,2.3184,0.0072,5.248e-06,1340.864413
2026-09-10T00:10:06.748Z,SOL,1.4142,137900,101.41,1340.864413
2026-09-10T00:10:06.748Z,SUI,1.7291,1051,0.7705,1340.864413
2026-09-10T00:10:06.748Z,SUSHI,0.2194,295.1,0.2196,1340.864413
2026-09-10T00:10:06.748Z,TRX,1.3102,460.4,0.33892,1340.864413
2026-09-10T00:10:06.748Z,UNI,1.4392,8365,6.15,1340.864413
2026-09-10T00:10:06.748Z,XLM,1.505,245.9,0.18067,1340.864413
2026-09-10T00:10:06.748Z,XRP,1.4502,1896,1.3938,1340.864413
2026-09-10T00:10:06.748Z,XTZ,-2.39,348.8,0.2665,1340.864413
2026-09-10T00:15:07.666Z,AAVE,3.7472,174000,125.08,1340.864413
2026-09-10T00:15:07.666Z,ADA,1.596,288.8,0.212,1340.864413
2026-09-10T00:15:07.666Z,ARB,1.9296,204.3,0.14948,1340.864413
2026-09-10T00:15:07.666Z,AVAX,0.5546,10510,7.795,1340.864413
2026-09-10T00:15:07.666Z,BCH,3.2583,347800,251.2,1340.864413
2026-09-10T00:15:07.666Z,BNB,1.4073,982000,722.2,1340.864413
2026-09-10T00:15:07.666Z,BTC,1.4036,106400000,78253.4,1340.864413
2026-09-10T00:15:07.666Z,DOGE,1.5444,117,0.08593,1340.864413
2026-09-10T00:15:07.666Z,DOT,1.665,1525,1.1187,1340.864413
2026-09-10T00:15:07.666Z,DYDX,-4.1672,149.2,0.11611,1340.864413
2026-09-10T00:15:07.666Z,ETH,1.2096,3350000,2468.53,1340.864413
2026-09-10T00:15:07.666Z,GMX,2.3808,10160,7.401,1340.864413
2026-09-10T00:15:07.666Z,GRT,8.1612,26.99,0.01861,1340.864413
2026-09-10T00:15:07.666Z,HBAR,1.9689,104.5,0.07643,1340.864413
2026-09-10T00:15:07.666Z,HYPE,9.0202,122000,83.458,1340.864413
2026-09-10T00:15:07.666Z,ICP,1.189,3757,2.769,1340.864413
2026-09-10T00:15:07.666Z,IMX,5.6061,179.1,0.12648,1340.864413
2026-09-10T00:15:07.666Z,INJ,7.7713,8760,6.062,1340.864413
2026-09-10T00:15:07.666Z,LDO,-19.7184,399.8,0.3714,1340.864413
2026-09-10T00:15:07.666Z,LINK,1.3901,16000,11.769,1340.864413
2026-09-10T00:15:07.666Z,NEAR,0.9361,3347,2.473,1340.864413
2026-09-10T00:15:07.666Z,POL,-1.3847,129.4,0.09786,1340.864413
2026-09-10T00:15:07.666Z,SHIB,2.416,0.0072,5.243e-06,1340.864413
2026-09-10T00:15:07.666Z,SOL,1.3842,137900,101.44,1340.864413
2026-09-10T00:15:07.666Z,SUI,1.7555,1051,0.7703,1340.864413
2026-09-10T00:15:07.666Z,SUSHI,0.5859,295.1,0.2188,1340.864413
2026-09-10T00:15:07.666Z,TRX,1.2505,460.4,0.33912,1340.864413
2026-09-10T00:15:07.666Z,UNI,1.7204,8365,6.133,1340.864413
2026-09-10T00:15:07.666Z,XLM,1.5613,245.9,0.18057,1340.864413
2026-09-10T00:15:07.666Z,XRP,1.3869,1894,1.3932,1340.864413
2026-09-10T00:15:07.666Z,XTZ,-2.2065,348.8,0.266,1340.864413
2026-09-10T00:20:07.072Z,AAVE,3.98,174000,124.8,1340.864413
2026-09-10T00:20:07.072Z,ADA,1.8361,288.8,0.2115,1340.864413
2026-09-10T00:20:07.072Z,ARB,2.5747,204.3,0.14854,1340.864413
2026-09-10T00:20:07.072Z,AVAX,0.6837,10510,7.785,1340.864413
2026-09-10T00:20:07.072Z,BCH,3.5469,347800,250.5,1340.864413
2026-09-10T00:20:07.072Z,BNB,1.5197,982000,721.4,1340.864413
2026-09-10T00:20:07.072Z,BTC,1.3765,106319000,78214.8,1340.864413
2026-09-10T00:20:07.072Z,DOGE,1.5917,117,0.08589,1340.864413
2026-09-10T00:20:07.072Z,DOT,1.3479,1525,1.1222,1340.864413
2026-09-10T00:20:07.072Z,DYDX,-4.0266,149.2,0.11594,1340.864413
2026-09-10T00:20:07.072Z,ETH,1.3654,3351000,2465.47,1340.864413
2026-09-10T00:20:07.072Z,GMX,2.7835,10160,7.372,1340.864413
2026-09-10T00:20:07.072Z,GRT,8.3942,26.99,0.01857,1340.864413
2026-09-10T00:20:07.072Z,HBAR,2.0223,104.5,0.07639,1340.864413
2026-09-10T00:20:07.072Z,HYPE,9.248,122000,83.284,1340.864413
2026-09-10T00:20:07.072Z,ICP,1.2622,3757,2.767,1340.864413
2026-09-10T00:20:07.072Z,IMX,6.0084,179.1,0.126,1340.864413
2026-09-10T00:20:07.072Z,INJ,8.003,8760,6.049,1340.864413
2026-09-10T00:20:07.072Z,LDO,-19.6535,399.8,0.3711,1340.864413
2026-09-10T00:20:07.072Z,LINK,1.6146,16000,11.743,1340.864413
2026-09-10T00:20:07.072Z,NEAR,0.8546,3347,2.475,1340.864413
2026-09-10T00:20:07.072Z,POL,-1.4149,129.4,0.09789,1340.864413
2026-09-10T00:20:07.072Z,SHIB,2.6117,0.0072,5.233e-06,1340.864413
2026-09-10T00:20:07.072Z,SOL,1.5343,137900,101.29,1340.864413
2026-09-10T00:20:07.072Z,SUI,1.504,1045,0.7678,1340.864413
2026-09-10T00:20:07.072Z,SUSHI,0.9047,295.9,0.2187,1340.864413
2026-09-10T00:20:07.072Z,TRX,1.3252,460.4,0.33887,1340.864413
2026-09-10T00:20:07.072Z,UNI,2.1033,8365,6.11,1340.864413
2026-09-10T00:20:07.072Z,XLM,1.719,245.9,0.18029,1340.864413
2026-09-10T00:20:07.072Z,XRP,1.3915,1893,1.3924,1340.864413
2026-09-10T00:20:07.072Z,XTZ,-1.9854,348.8,0.2654,1340.864413
2026-09-10T00:25:06.947Z,AAVE,4.0968,174000,124.66,1340.864413
2026-09-10T00:25:06.947Z,ADA,1.7304,288.5,0.2115,1340.864413
2026-09-10T00:25:06.947Z,ARB,2.9559,204.3,0.14799,1340.864413
2026-09-10T00:25:06.947Z,AVAX,0.8132,10510,7.775,1340.864413
2026-09-10T00:25:06.947Z,BCH,3.2583,347800,251.2,1340.864413
2026-09-10T00:25:06.947Z,BNB,1.562,982000,721.1,1340.864413
2026-09-10T00:25:06.947Z,BTC,1.3828,106338000,78223.9,1340.864413
2026-09-10T00:25:06.947Z,DOGE,1.6272,117,0.08586,1340.864413
2026-09-10T00:25:06.947Z,DOT,1.5198,1525,1.1203,1340.864413
2026-09-10T00:25:06.947Z,DYDX,-4.0101,149.2,0.11592,1340.864413
2026-09-10T00:25:06.947Z,ETH,1.4002,3352000,2465.36,1340.864413
2026-09-10T00:25:06.947Z,GMX,2.6443,10160,7.382,1340.864413
2026-09-10T00:25:06.947Z,GRT,8.7456,26.99,0.01851,1340.864413
2026-09-10T00:25:06.947Z,HBAR,2.0757,104.5,0.07635,1340.864413
2026-09-10T00:25:06.947Z,HYPE,9.134,122000,83.371,1340.864413
2026-09-10T00:25:06.947Z,ICP,1.3721,3757,2.764,1340.864413
2026-09-10T00:25:06.947Z,IMX,6.1769,179.1,0.1258,1340.864413
2026-09-10T00:25:06.947Z,INJ,8.1281,8760,6.042,1340.864413
2026-09-10T00:25:06.947Z,LDO,-19.6535,399.8,0.3711,1340.864413
